"","name","module","disease","padj_CJD","lFC_CJD","padj_FFI","lFC_FFI"
"4464","Polr2f",2,"neither",NA,NA,NA,NA
"4466","Polr2h",2,"FFI",NA,NA,0.0406254959877027,0.331935934494959
"4467","Polr2i",2,"neither",NA,NA,NA,NA
"4468","Polr2j",2,"neither",NA,NA,NA,NA
"4469","Polr2k",2,"neither",NA,NA,NA,NA
"4470","Polr2l",2,"neither",NA,NA,NA,NA
"4474","Polr3d",2,"neither",NA,NA,NA,NA
"4480","Pomgnt1",2,"neither",NA,NA,NA,NA
"4481","Pomgnt2",2,"neither",NA,NA,NA,NA
"4482","Pomp",2,"neither",NA,NA,NA,NA
"4484","Pop5",2,"neither",NA,NA,NA,NA
"4485","Pop7",2,"neither",NA,NA,NA,NA
"4487","Porcn",2,"neither",NA,NA,NA,NA
"4490","Ppa1",2,"neither",NA,NA,NA,NA
"4495","Ppdpf",2,"neither",NA,NA,NA,NA
"4500","Ppia",2,"neither",NA,NA,NA,NA
"4501","Ppib",2,"neither",NA,NA,NA,NA
"4503","Ppif",2,"neither",NA,NA,NA,NA
"4504","Ppih",2,"neither",NA,NA,NA,NA
"4519","Ppp1ca",2,"neither",NA,NA,NA,NA
"4522","Ppp1r11",2,"neither",NA,NA,NA,NA
"4525","Ppp1r12c",2,"neither",NA,NA,NA,NA
"4527","Ppp1r14b",2,"neither",NA,NA,NA,NA
"4531","Ppp1r1a",2,"neither",NA,NA,NA,NA
"4532","Ppp1r1b",2,"neither",NA,NA,NA,NA
"4534","Ppp1r21",2,"neither",NA,NA,NA,NA
"4538","Ppp1r3f",2,"neither",NA,NA,NA,NA
"4544","Ppp2r1a",2,"neither",NA,NA,NA,NA
"4554","Ppp2r5d",2,"neither",NA,NA,NA,NA
"4575","Pqbp1",2,"neither",NA,NA,NA,NA
"4576","Praf2",2,"neither",NA,NA,NA,NA
"4580","Prdx2",2,"neither",NA,NA,NA,NA
"4583","Prdx5",2,"neither",NA,NA,NA,NA
"4586","Prelid1",2,"neither",NA,NA,NA,NA
"4587","Prelid3b",2,"neither",NA,NA,NA,NA
"4606","Prkcsh",2,"neither",NA,NA,NA,NA
"4615","Prodh",2,"neither",NA,NA,NA,NA
"4632","Prr7",2,"neither",NA,NA,NA,NA
"4636","Prrt1",2,"neither",NA,NA,NA,NA
"4637","Prrt2",2,"neither",NA,NA,NA,NA
"4642","Psap",2,"neither",NA,NA,NA,NA
"4647","Psenen",2,"neither",NA,NA,NA,NA
